ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,,Avg.,Total,Avg.,Public w/Aerial Lifts Total,370,,Annual Totals,,,,National Totals,,,,,,,,,,,,,,,,,,
,,963,"244,141",164,Public - Surface Lifts Only Total,92,,491,499,509,324,12,50,6,3,5,112,6,382,406,505,2,524,2,91,7,59,389,633,3192
,,,,,Private w/Aerial Lifts Total,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Private - Surface Lifts Only Total,22,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,MOUNTAIN,"Lift-Served Vertical 
Drop (feet)","Lift-Served 
Skiable Acres","Average Annual Snow
(claimed, inches)","OPERATING
CLASS",OWNER,PASS AFFILIATIONS,"OPERATED
23/24?","OPERATED
24/25?","ANTICIPATE
OPERATING
25/26?","CONFIRMED
OPERATING
25/26?",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,TOTAL LIFTS
U.S. - Alabama,Cloudmont,150,9,1,Public - Surface Lifts Only,Independent,,No,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
U.S. - Alaska,Alyeska,"2,487","1,610",669,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session",Yes,Yes,Yes,Yes,1,,,,,,,2,2,,,,,,,,,2,7
,Arctic Valley,"1,400",320,250,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,2,,1,,,1,,4
,Birch Hill,540,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,,1,2
,Eaglecrest,"1,620",640,350,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, Freedom",Yes,Yes,Yes,Yes,0,,,,,,,,,,,4,,,,,,,4
,Hillberg,263,,,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,2,,3
,Hilltop,294,35,76,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,1,,,,,,1,,1,3
,Homer Rope Tow,260,20,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Moose Mountain,"1,300",750,100,Public - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,1,,1
,Mount Eyak,800,100,350,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,,,,1,,,,1,,2
,Skeetawk,300,30,,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,,,,,,1
,Ski Land,"1,027",100,200,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,,1,2
U.S. - Arizona,Arizona Snowbowl,"2,300",777,242,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass",Yes,Yes,Yes,Yes,0,,,,,1,1,,3,1,,,,,,,,2,8
,Mt. Lemmon Ski Valley ,950,200,180,Public w/Aerial Lifts,Independent,,Yes,No,Yes,Yes,0,,,,,,,,,,,2,,,,,1,,3
,Sunrise Park,"1,800","1,200",225,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,1,2,2,,1,,,,,1,1,8
U.S. - California,Alta Sierra,600,80,80,"Public w/Aerial Lifts, On Status Watch",,,Yes,No,Yes,,0,,,,,,,,,,,2,,,,,1,,3
,Badger Pass,800,90,300,"Public w/Aerial Lifts, On Status Watch",,,Yes,No,Yes,,0,,,,,,,,,1,,3,,,,,,,4
,Bear Mountain (Big Bear),"1,665",198,114,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,2,,2,,2,,,,,,4,11
,Bear Valley,"1,900","1,680",352,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,1,1,2,,2,,,,,,2,9
,Boreal,500,380,389,Public w/Aerial Lifts,Powdr,California Gold Pass,Yes,Yes,Yes,Yes,0,,,,,,,1,2,3,,,,,,,,2,8
,Cedar Pass,400,100,,"Public - Surface Lifts Only, On Status Watch",,,No,No,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,China Peak,"1,679","1,200",300,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,2,4,,,,1,,,,4,11
,Coppervale,740,80,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,1,,2
