country,state,resort_name,vertical_drop_ft,skiable_acres,avg_annual_snow_in,operating_class,owner,pass_affiliations,operated_2324,operated_2425,anticipated_2526,confirmed_2526
USA,Arizona,Arizona Snowbowl,2300,777,242,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass",Yes,Yes,Yes,Yes
USA,Arizona,Mt. Lemmon Ski Valley,950,200,180,Public w/Aerial Lifts,Independent,,Yes,No,Yes,Yes
USA,Arizona,Sunrise Park,1800,1200,225,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,California,Alta Sierra,600,80,80,"Public w/Aerial Lifts, On Status Watch",,,Yes,No,Yes,
USA,California,Badger Pass,800,90,300,"Public w/Aerial Lifts, On Status Watch",,,Yes,No,Yes,
USA,California,Bear Mountain (Big Bear),1665,198,114,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Bear Valley,1900,1680,352,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Boreal,500,380,389,Public w/Aerial Lifts,Powdr,California Gold Pass,Yes,Yes,Yes,Yes
USA,California,Cedar Pass,400,100,,"Public - Surface Lifts Only, On Status Watch",,,No,No,Yes,
USA,California,China Peak,1679,1200,300,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Coppervale,740,80,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,California,Dodge Ridge,1600,862,300,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,
USA,California,Donner Ski Ranch,800,500,389,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,
USA,California,Granlibakken,200,25,170,Public - Surface Lifts Only,Independent,California Gold Pass,Yes,Yes,Yes,Yes
USA,California,Heavenly,3475,4800,251,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Tahoe Value, Epic Day All, Epic Day 32, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Homewood,1650,1260,450,"Public w/Aerial Lifts, On Status Watch",JMA Ventures,California Gold Pass,Yes,No,Yes,
USA,California,June Mountain,2590,1500,276,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Kingvale,150,50,25,Public - Surface Lifts Only,Independent,California Gold Pass,Yes,Yes,Yes,
USA,California,Kirkwood,2000,2300,354,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Tahoe Value, Epic Day All, Epic Day 32, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Mammoth,3100,3500,357,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Mountain  High: West,1000,145,117,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Mountain High: East,1600,145,117,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,
USA,California,Mt. Baldy,2100,800,170,Public w/Aerial Lifts,Independent,California Gold Pass,Yes,Yes,Yes,Yes
USA,California,Mt. Shasta,2036,635,250,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, California Gold Pass",Yes,Yes,Yes,
USA,California,Northstar,2280,3170,350,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Tahoe Value, Epic Day All, Epic Day 32, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Palisades Tahoe: Olympic,2850,6000,364,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Sierra-at-Tahoe,2212,2000,401,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session, Powder Alliance, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Snow Summit (Big Bear),1200,240,114,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Snow Valley,1041,240,150,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,
USA,California,Soda Springs,550,200,389,Public w/Aerial Lifts,Powdr,California Gold Pass,Yes,Yes,Yes,Yes
USA,California,Sugar Bowl,1500,1650,429,Public w/Aerial Lifts,Independent,"Mountain Collective, California Gold Pass",Yes,Yes,Yes,Yes
USA,California,Tahoe Donner,600,120,385,Public w/Aerial Lifts,Independent,California Gold Pass,Yes,Yes,Yes,Yes
USA,Colorado,Arapahoe Basin,1698,1428,350,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Aspen Highlands,3635,1010,260,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Aspen Mountain,3317,826,248,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Beaver Creek,3340,2082,323,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes
USA,Colorado,Breckenridge,3240,2908,355,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Summit Value, Epic Keystone Plus, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes
USA,Colorado,Buttermilk,2030,435,200,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Chapman,319,7,71,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes
USA,Colorado,Copper Mountain,2729,2538,278,Public w/Aerial Lifts,Powdr,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
